文件名,作品名称,作者,美感类型,优势度评分,愉悦度评分,唤醒度评分
1.4_s163n.jpg,花鸟册（十二开）1699年30.7×27.5cm-8,八大山人,4,3.25,3.3,4.55
1.45_l22.jpg,蛙声十里出山泉,齐白石,5,3.95,4.35,3.8
1.45_s216.jpg,附：笔法演示-4,曹明冉,4,3.8,3.75,4.85
1.45_s218.jpg,八哥__1961年,李照东,4,3.8,3.45,4.45
1.5_s157n.jpg,杂画册（四开）___1690年,八大山人,3,4.3,4.55,5.15
1.5_s160n.jpg,游鱼图轴1691年96×46cm,八大山人,3,4.2,3.55,5.5
1.5_s165o.jpg,卷石山茶　軸,,4,3.8,3.7,4.35
1.55_s227.jpg,牛35×35_cm_1966年,石鲁,3,4.45,4.15,5.3
1.6_s156n.jpg,杂画册（十二开选八）1695年32.8×31.5cm-2,八大山人,4,4.15,3.95,4.55
1.65_s226.jpg,家藏册页（12开）-8_24×33_cm×12_1973年,石鲁,3,4.7,5.1,5.3
1.75_l222.jpg,梅清《莲花峰》(《黄山图册》选一),戴本孝,5,3.35,4.6,4
1.8_l223.jpg,再作不可山水诗文册页20.3×24.2cm-7,担当,2,3.5,3.75,4.65
1.8_s179n.jpg,周鹏飞_清新八趣__40cm×40cm×8-2,周鹏飞,3,3.9,4.6,5.2
1.8_s70.jpg,鲇鱼图,李方膺,3,4.35,4.5,4.1
1.85_l256.jpg,西墩村写生__45×63cm__2008年,李照东,5,4,4.95,4.75
1.85_l30.jpg,瑞鹤图,赵佶,5,4.8,6,4.1
1.9_l122.jpg,沙面东桥,陆俨少,4,5.15,4.7,4.65
1.9_l199.jpg,绘林集妙散页26.6×26.2cm,八大山人,2,4.2,4.55,4.45
1.9_l34.jpg,乌桕文禽图,佚名,4,4.3,4.25,4.2
1.95_l246.jpg,墨泻十方如来，烟点百里荷沼__35×270cm__2006年-2,李照东,5,3.55,3.9,4.2
2.05_l218.jpg,山水册（十二页）1693年_23.5x34cm-9,戴本孝,1,4.45,5,4.2
2.05_l241.jpg,祖国富强__69×70cm__1992年,方召麐,2,5.6,6,4.55
2.05_l269.jpg,黄土高坡_15×20_cm_1958年,石鲁,1,6.05,5.8,4.9
2.05_l6.jpg,仿古山水十二开-4,杨晋,5,4.85,5.45,4.65
2.05_s153n.jpg,墨笔杂画册（十开）26.3×23.3cm－3,八大山人,5,3.85,4.55,3.5
2.05_s158n.jpg,松石萱草图轴184.5×92.1cm,八大山人,5,4,4.2,4.4
2.1_l193.jpg,金笺本墨笔 纵27.7厘米 横34.1厘米 上海博物馆藏,李流芳,1,4.95,5.1,4.6
2.1_l229.jpg,诗画合册图-6,担当,2,3.3,4,4
2.1_l273.jpg,岩壑奇观图-2,萧云从,5,4.75,4.35,4.25
2.1_l49.jpg,细雨骑驴入剑门,陈树人,1,4.3,4.1,3.9
2.1_l65.jpg,梅月图 ,潘天寿,2,4,4.3,5
2.1_s16.jpg,桑果山鸟图,佚名,4,3.95,4.45,4
2.1_s180o.jpg,牧牛 溥心畬,,5,4.75,5.2,4.8
2.1_s217.jpg,香绕泰巅烟雨外_梦笔落墨点新苞，风拂露堕花欲摇。香绕泰巅烟雨外，溪泉留客醉芳草。明冉並记於北京,曹明冉,4,3.9,3.55,3.75
2.15_l194.jpg,山水蔬果花卉图（局部）清 石涛 册页 纸本设色 每页28×21.8厘米 美国纽约大都会美术馆藏,石涛,3,5.1,5.6,4.5
2.15_l24.jpg,微风燕子图,潘天寿,4,4.5,4.55,4.5
2.15_l28.jpg,竹石锦鸡图,黄居寀,5,4.9,4.75,5.15
2.15_l83.jpg,夕阳秋影图 , 吴历,1,5.05,4.6,5.45
2.15_l93.jpg,书画06-N,傅抱石,2,4.85,4,5.4
